date, pm25, pm10, o3, no2, so2, co,Date
2024-06-01,145,105,9,7,2,21,2024-06-01
2024-06-02,127,121,8,7,2,23,2024-06-02
2024-06-03,130,165,9,8,2,17,2024-06-03
2024-06-04,156,156,5,7,2,16,2024-06-04
2024-06-05,149,87,10,6,1,17,2024-06-05
2024-06-06,114,158,7,6,2,15,2024-06-06
2024-06-07,130,150,8,6,3,16,2024-06-07
2024-06-08,128,103,10,7,3,17,2024-06-08
2024-06-09,116,107,14,8,3,15,2024-06-09
2024-06-10,112,136,18,9,7,5,2024-06-10
2024-06-11,147,139,20,10,4,12,2024-06-11
2024-06-12,133,120,17,8,3,6,2024-06-12
2024-06-13,117,173,8,5,2,5,2024-06-13
2024-06-14,115,124,7,6,2,5,2024-06-14
2024-06-15,116,121,5,8,1,11,2024-06-15
2024-06-16,108,127,12,11,3,6,2024-06-16
2024-06-17,128,210,6,13,2,5,2024-06-17
2024-06-18,150,211,11,12,2,5,2024-06-18
2024-06-19,149,108,14,7,2,6,2024-06-19
2024-06-20,118,121,5,11,2,6,2024-06-20
2024-06-21,153,140,5,14,2,5,2024-06-21
2024-06-22,184,104,3,9,2,4,2024-06-22
2024-06-23,155, , , , , ,2024-06-23
2023-06-01,143,85,27,11,2,9,2023-06-01
2023-06-02,108,97,26,15,2,11,2023-06-02
2023-06-03,126,135,22,14,3,10,2023-06-03
2023-06-04,177,116,24,14,2,12,2023-06-04
2023-06-05,148,198,35,12,2,8,2023-06-05
2023-06-06,134,568,8,23,3,14,2023-06-06
2023-06-07,213,122,29,18,3,9,2023-06-07
2023-06-08,134,130,8,13,3,10,2023-06-08
2023-06-09,122,128,9,12,3,11,2023-06-09
2023-06-10,113,108,8,10,2,11,2023-06-10
2023-06-11,104,129,5,10,2,11,2023-06-11
2023-06-12,127,176,5,9,2,10,2023-06-12
2023-06-13,135,164,7,7,2,10,2023-06-13
2023-06-14,119,111,5,9,2,11,2023-06-14
2023-06-15,107,104,4,9,3,11,2023-06-15
