date, pm25, pm10, o3, no2, so2, co,Date
2024-08-02,129,89,6,8, ,6,2024-08-02
2024-08-03,91,76,5,8, ,6,2024-08-03
2024-08-04,75,83,6,7, ,7,2024-08-04
2024-08-05,83,78,8,7, ,6,2024-08-05
2024-08-06,66,58,9,5, ,10,2024-08-06
2024-08-07,75,80,5,4, ,17,2024-08-07
2024-08-08,97,64,7,9,1,9,2024-08-08
2024-08-09,88,78,7,8, ,5,2024-08-09
2024-08-10,138,61,4,8, ,4,2024-08-10
2024-08-11,120,88,4,8, ,7,2024-08-11
2024-08-12,110,87,4,9, ,10,2024-08-12
2024-08-13,114,99,4,9, ,8,2024-08-13
2024-08-14,143,70,4,7, ,5,2024-08-14
2024-08-15,108,84,4,6, ,8,2024-08-15
2024-08-16,99,83,4,9, ,7,2024-08-16
2024-08-17,106,86,4,7, ,6,2024-08-17
2024-08-18,117,97,9,8, ,4,2024-08-18
2024-08-19,124,116,4,10, ,9,2024-08-19
2024-08-20,120,87,6,8, ,6,2024-08-20
2024-08-21,104,83,6,7, ,6,2024-08-21
2024-08-22,104,66,5,8, ,9,2024-08-22
2024-08-23,95,96,5,8, ,7,2024-08-23
2024-08-24,138,82,6,7, ,7,2024-08-24
2024-08-25,104,67,7,5, ,5,2024-08-25
2024-08-26,95,89,8,15,2,6,2024-08-26
2024-08-27,82,68,10,19,2,7,2024-08-27
2024-08-28,88,72,12,19,2,10,2024-08-28
2024-08-29,98,110,44,28,4,8,2024-08-29
2024-08-30,139,86,10,19,3,6,2024-08-30
2024-08-31,130,74,12,15,2,6,2024-08-31
2023-08-01,103,87,5,4,1,10,2023-08-01
2023-08-02,96,95,5,4,1,14,2023-08-02
2023-08-03,143,71,10,5,1,13,2023-08-03
2023-08-04,139,87,7,11,2,13,2023-08-04
2023-08-05,109,88,5,3,1,9,2023-08-05
2023-08-06,101,95,5,6,2,10,2023-08-06
2023-08-07,97,115,5,4,2,12,2023-08-07
2023-08-08,146,136,6,6,1,12,2023-08-08
2023-08-09,128,177,3,1,1,14,2023-08-09
2023-08-10,124,125,2,1,1,13,2023-08-10
2023-08-11,120,137,3, ,1,10,2023-08-11
2023-08-12,119,125,2,1,1,10,2023-08-12
2023-08-13,121,208,2,1,1,12,2023-08-13
2023-08-14,130,91, , ,1,14,2023-08-14
2023-08-15,136,107,2,2,1,11,2023-08-15
2023-08-16,138,118,2,1,1,12,2023-08-16
2023-08-17,119,137,2,1,1,12,2023-08-17
2023-08-18,130,138,3,1,1,15,2023-08-18
2023-08-19,150,143,6,1,1,14,2023-08-19
2023-08-20,133,95,4,1,1, ,2023-08-20
2023-08-21,138,102,2,1, , ,2023-08-21
2023-08-22,140,70,2,1,1,17,2023-08-22
2023-08-23,115,114,3,2,1,13,2023-08-23
2023-08-24,107,119,2,2,1,14,2023-08-24
2023-08-25,116,139,2,2,2,6,2023-08-25
2023-08-26,138,156,3,3,1,13,2023-08-26
2023-08-27,152,134,3,2,1,10,2023-08-27
2023-08-28,136,120,4,2,1,11,2023-08-28
2023-08-29,127,111,6,2,1,11,2023-08-29
2023-08-30,137,111,6,1,1,12,2023-08-30
2023-08-31,138,109,4,2,1,12,2023-08-31
2022-08-01,108,76,2,5,2,40,2022-08-01
2022-08-02,107,98,2,7,1,15,2022-08-02
2022-08-03,145,89,5,6,1,3,2022-08-03
2022-08-04,156,69,5,6,1,12,2022-08-04
2022-08-05,141,94,9,6,1,9,2022-08-05
2022-08-06,156,83,4,5,1,9,2022-08-06
2022-08-07,146,93,8,5,2,8,2022-08-07
2022-08-08,142,100,5,5,2,10,2022-08-08
2022-08-09,165,83,4,3,2,9,2022-08-09
2022-08-10,99,63,3,1,2,9,2022-08-10
2022-08-11,61,72,6,2,2,9,2022-08-11
2022-08-12,87,61,2, ,1,7,2022-08-12
2022-08-13,94,59,1,2,2,9,2022-08-13
2022-08-14,154,44,2, ,2,9,2022-08-14
2022-08-15,61,61,2, ,1,8,2022-08-15
2022-08-16,64,40,2, ,1,9,2022-08-16
2022-08-17,44,79,2,1,2,9,2022-08-17
2022-08-18,93,58,2, ,2,8,2022-08-18
2022-08-19,65,71,2,1,2,9,2022-08-19
2022-08-20,102,86,3,1,1,9,2022-08-20
2022-08-21,134,89,2,3,1,8,2022-08-21
2022-08-22,123,84,2,6,2, ,2022-08-22
2022-08-23,101,66,2,5,2,8,2022-08-23
2022-08-24,83,84,4,9,2,9,2022-08-24
2022-08-25,111,80,2,7,2,8,2022-08-25
2022-08-26,111,81,2,5,2,8,2022-08-26
2022-08-27,95,98,2,6,2,8,2022-08-27
2022-08-28,105,100,3,6,2,9,2022-08-28
2022-08-29,113,121,5,12,2,9,2022-08-29
2022-08-30,143,94,2,7,2,9,2022-08-30
2022-08-31,132,89,3,7,2,9,2022-08-31
2021-08-01,124,66,3,10,1,6,2021-08-01
2021-08-02,113,88,3,9,1,6,2021-08-02
2021-08-03,121,89,6,9,1,6,2021-08-03
2021-08-04,112,79,8,8,1,4,2021-08-04
2021-08-05,118,86,3,8,1,6,2021-08-05
2021-08-06,125,86,1,9,2,6,2021-08-06
2021-08-07,130,79, ,10,1,6,2021-08-07
2021-08-08,133,93,2,9,1,7,2021-08-08
2021-08-09,166,85,2,9,2,7,2021-08-09
2021-08-10,133,105,5,7,2,4,2021-08-10
2021-08-11,129,132,3,9,1,9,2021-08-11
2021-08-12,107,137,6,8,2,5,2021-08-12
2021-08-13,130,122,3,7,1,5,2021-08-13
2021-08-14,109,100,4,6,1,4,2021-08-14
2021-08-15,108,116,4,7,2,5,2021-08-15
2021-08-16,120,140,5,8,1,6,2021-08-16
2021-08-17,147,129,7,9,2,6,2021-08-17
2021-08-18,153,148,6,10,2,8,2021-08-18
2021-08-19,157,73,5,5,2,6,2021-08-19
2021-08-20,94,51,3,7,1,7,2021-08-20
2021-08-21,104,78,3,6,1,9,2021-08-21
2021-08-22,144,85,5,9,1,7,2021-08-22
2021-08-23,135,108,2,9,1,7,2021-08-23
2021-08-24,149,109,2,7,1,3,2021-08-24
2021-08-25,108,115,2,9,1,5,2021-08-25
2021-08-26,100,130,4,9,1,4,2021-08-26
2021-08-27,118,139,3,9,2,8,2021-08-27
2021-08-28,142,123,3,7,2,5,2021-08-28
2021-08-29,158,64,2,4,2,4,2021-08-29
2021-08-30,96,64,1,6,1,7,2021-08-30
2021-08-31,106,43,2,4,1,6,2021-08-31
2020-08-01,110,48,2,13,9,11,2020-08-01
2020-08-02,75,51,2,12,9,9,2020-08-02
2020-08-03,79,58,2,13,8,10,2020-08-03
2020-08-04,77,67,5,14,7,11,2020-08-04
2020-08-05,111,70,4,11,7,10,2020-08-05
2020-08-06,75,55,6,12,7,10,2020-08-06
2020-08-07,80,68,4,14,8,11,2020-08-07
2020-08-08,130,52,2,11,7,10,2020-08-08
2020-08-09,109,67,4,11,7,10,2020-08-09
2020-08-10,118,74,2,13,8,12,2020-08-10
2020-08-11,137,55,2,11,9,10,2020-08-11
2020-08-12,75,32,2,11,7,10,2020-08-12
2020-08-13,64,65,4,12,7,11,2020-08-13
2020-08-14,102,59,3,9,6,9,2020-08-14
2020-08-15,111,53,5,12,7,10,2020-08-15
2020-08-16,84,58,9,13,7,12,2020-08-16
2020-08-17,103,71,3,15,8,10,2020-08-17
2020-08-18,118,45,7,13,7,10,2020-08-18
2020-08-19,89,77,7,13,13,15,2020-08-19
2020-08-20,88,76,6,9,10,11,2020-08-20
2020-08-21,81,70,4,8,14,10,2020-08-21
2020-08-22,68,58,7,7,15,12,2020-08-22
2020-08-23,62,53,13,13,16,11,2020-08-23
2020-08-24,78,58,1,12,9,15,2020-08-24
2020-08-25,60,58,2,15,15,20,2020-08-25
2020-08-26,58,59,2,15,13,17,2020-08-26
2020-08-27,56,69,11,17,13,23,2020-08-27
2020-08-28,82,84,10,16,9,17,2020-08-28
