date, pm25, pm10, o3, no2, so2, co,Date
2024-12-01,214,168,40,37,9,18,2024-12-01
2024-12-02,211,170,39,34,10,17,2024-12-02
2024-12-03,213,114,39,25,6,7,2024-12-03
2024-12-04,148,122,43,28,7,9,2024-12-04
2024-12-05,160,142,36,30,8,11,2024-12-05
2024-12-06,167,233,50,35,9,22,2024-12-06
2024-12-07,210,302,41,36,9,22,2024-12-07
2024-12-08,274,122,41,31,6,8,2024-12-08
2024-12-09,179,132,29,39,5,9,2024-12-09
2024-12-10,172,120,52,32,6,5,2024-12-10
2024-12-11,174,148,34,51,7,18,2024-12-11
2024-12-12,187,149,44,36,4,15,2024-12-12
2024-12-13,189,140,41,38,7,18,2024-12-13
2024-12-14,182,220,65,52,9,25,2024-12-14
2024-12-15,242,374,94,54,6,33,2024-12-15
2024-12-16,370,516,48,73,6,45,2024-12-16
2024-12-17,402,486,35,61,5,38,2024-12-17
2024-12-18,452,561,25,62,6,45,2024-12-18
2024-12-19,507,404,36,55,4,31,2024-12-19
2024-12-20,387,317,25,50,4,29,2024-12-20
2024-12-21,318,542,29,64,7,47,2024-12-21
2024-12-22,443,377,42,53,4,32,2024-12-22
2024-12-23,398,305,28,60,6,49,2024-12-23
2024-12-24,300,199,30,42,5,26,2024-12-24
2024-12-25,273,272,35,44,5,28,2024-12-25
2024-12-26,295,237,21,41,3,22,2024-12-26
2024-12-27,316,144,22,26,3,21,2024-12-27
2024-12-28,233,101,36,17,3,10,2024-12-28
2024-12-29,177, , , , , ,2024-12-29
2023-12-01,289,184,9,36,3,14,2023-12-01
2023-12-02,229,217,11,38,2,12,2023-12-02
2023-12-03,239,220,11,41,3,12,2023-12-03
2023-12-04,241,181,9,37,2,11,2023-12-04
2023-12-05,206,196,21,40,2,12,2023-12-05
2023-12-06,215,297,1,43,2,15,2023-12-06
2023-12-07,262,253,2,43,2,19,2023-12-07
2023-12-08,250,236, ,43,2,22,2023-12-08
2023-12-09,247,199, ,42,3,18,2023-12-09
2023-12-10,223,270, ,44,4,25,2023-12-10
2023-12-11,243,456, ,50,3,23,2023-12-11
2023-12-12,361,425,5,44,2,24,2023-12-12
2023-12-13,345,282,12,41,5,20,2023-12-13
2023-12-14,244,370,17,74,10,28,2023-12-14
2023-12-15,261,495,17,98,13,36,2023-12-15
2023-12-16,323,328,25,95,7,31,2023-12-16
2023-12-17,291,203,15,80,4,22,2023-12-17
2023-12-18,230,190,17,70,5,25,2023-12-18
2023-12-19,203,217,6,76,7,26,2023-12-19
2023-12-20,224,349,10,80,6,27,2023-12-20
2023-12-21,312,497,10,85,5,36,2023-12-21
2023-12-22,411,558,16,86,6,30,2023-12-22
2023-12-23,450,398,15,81,7,27,2023-12-23
2023-12-24,384,321,17,75,4,19,2023-12-24
2023-12-25,322,322,18,73,3,17,2023-12-25
2023-12-26,326,367, ,56,2,16,2023-12-26
2023-12-27,379,216,1,26,2,12,2023-12-27
2023-12-28,277,442,10,41,3,11,2023-12-28
2023-12-29,402,295,8,36,2,9,2023-12-29
2023-12-30,337,291,4,35,3,9,2023-12-30
2023-12-31,304,207,4,27,4,8,2023-12-31
2022-12-01,309,322,13,27,2,32,2022-12-01
2022-12-02,290,340,12,29,2,37,2022-12-02
2022-12-03,331,403,10,25,2,18,2022-12-03
2022-12-04,358,225,8,21,2,26,2022-12-04
2022-12-05,242,202,9,18,1,23,2022-12-05
2022-12-06,241,147,8,14,1,24,2022-12-06
2022-12-07,196,178,8,18,2,28,2022-12-07
2022-12-08,201,245,9,21,2,30,2022-12-08
2022-12-09,229,339,6,22,2,30,2022-12-09
2022-12-10,293,170,4,16,1,19,2022-12-10
2022-12-11,201,129,5,16,1,23,2022-12-11
2022-12-12,164,117,6,14,1,21,2022-12-12
2022-12-13,146,129,7,15,1,22,2022-12-13
2022-12-14,163,133,9,17,1,22,2022-12-14
2022-12-15,170,160,11,19,2,27,2022-12-15
2022-12-16,188,225,7,19,2,24,2022-12-16
2022-12-17,235,331,7,20,2,31,2022-12-17
2022-12-18,317,364,9,21,1,28,2022-12-18
2022-12-19,351,227,7,18,1,26,2022-12-19
2022-12-20,268,226,4,14,1,25,2022-12-20
2022-12-21,215,257,4,14,1,25,2022-12-21
2022-12-22,340,243,9,15,1,26,2022-12-22
2022-12-23,279,186,8,15,1,23,2022-12-23
2022-12-24,243,192,8,12,1,24,2022-12-24
2022-12-25,254,227,4,13,1,26,2022-12-25
2022-12-26,278,239,11,14,2,23,2022-12-26
2022-12-27,286,178,16,18,1,24,2022-12-27
2022-12-28,238,381,18,28,3,38,2022-12-28
2022-12-29,316,379,15,20,2,30,2022-12-29
2022-12-30,360,207,10,12,1,8,2022-12-30
2022-12-31,256,186,18,14,2,16,2022-12-31
2021-12-01,359,317, ,17,2,9,2021-12-01
2021-12-02,347,232,2,17,2,16,2021-12-02
2021-12-03,274,290,3,20,3,21,2021-12-03
2021-12-04,278,314,20,25,1,18,2021-12-04
2021-12-05,295,161,1,16,1,8,2021-12-05
2021-12-06,211,133,1,15,1,10,2021-12-06
2021-12-07,177,158,1,17,1,14,2021-12-07
2021-12-08,191,217,1,20,2,11,2021-12-08
2021-12-09,240,182,1,20,2,13,2021-12-09
2021-12-10,230,168,1,19,2,13,2021-12-10
2021-12-11,205,249,1,22,2,31,2021-12-11
2021-12-12,244,345,5,23,2,20,2021-12-12
2021-12-13,313,354,5,25,1,19,2021-12-13
2021-12-14,330,204,1,22,1,12,2021-12-14
2021-12-15,253,244,2,23,1,14,2021-12-15
2021-12-16,288,151,1,18,1,9,2021-12-16
2021-12-17,217,141,1,19,1,11,2021-12-17
2021-12-18,204,151,2,17,2,11,2021-12-18
2021-12-19,212,281,2,23,2,18,2021-12-19
2021-12-20,303,556,2,28,2,26,2021-12-20
2021-12-21,431,480,2,32,2,23,2021-12-21
2021-12-22,412,642,10,30,2,34,2021-12-22
2021-12-23,496,456,2,23,2,15,2021-12-23
2021-12-24,395,535,2,27,1,15,2021-12-24
2021-12-25,464,505,2,20,2,11,2021-12-25
2021-12-26,471,143,1,15,1,13,2021-12-26
2021-12-27,195,154,2,17,2,12,2021-12-27
2021-12-28,220,153,2,14,1,15,2021-12-28
2021-12-29,208,221,2,19,1,9,2021-12-29
2021-12-30,230,244,3,19,1,10,2021-12-30
2021-12-31,259,394,3,23,2,29,2021-12-31
2020-12-01,226,175,15,35,14,25,2020-12-01
2020-12-02,203,339,23,36,16,29,2020-12-02
2020-12-03,207,469,31,42,13,38,2020-12-03
2020-12-04,247,350,21,32,11,27,2020-12-04
2020-12-05,227,198,18,30,11,24,2020-12-05
2020-12-06,210,223,18,30,10,27,2020-12-06
2020-12-07,231,260,22,31,12,29,2020-12-07
2020-12-08,225,272,17,33,13,33,2020-12-08
2020-12-09,220,141,25,24,12,20,2020-12-09
2020-12-10,170,171,18,33,11,22,2020-12-10
2020-12-11,178,147,15,19,8,20,2020-12-11
2020-12-12,196,98,10,16,7,14,2020-12-12
2020-12-13,148,100,10,15,9,12,2020-12-13
2020-12-14,131,125,11,18,13,13,2020-12-14
2020-12-15,155,130,11,19,9,14,2020-12-15
2020-12-16,151,144,11,17,8,14,2020-12-16
2020-12-17,164,165,16,25,9,16,2020-12-17
2020-12-18,158,255,16,29,10,18,2020-12-18
2020-12-19,183,255,14,28,10,18,2020-12-19
2020-12-20,188,326,20,36,16,28,2020-12-20
2020-12-21,206,508,14,41,14,37,2020-12-21
2020-12-22,289,394,13,39,16,41,2020-12-22
2020-12-23,297,320,10,37,12,32,2020-12-23
2020-12-24,271,191,8,33,11,13,2020-12-24
2020-12-25,194,209,11,36,11,14,2020-12-25
2020-12-26,214,250,13,35,12,13,2020-12-26
2020-12-27,221,162,8,26,11,17,2020-12-27
2020-12-28,155,178,14,32,10,30,2020-12-28
2020-12-29,174,171,10,26,8,34,2020-12-29
2020-12-30,176,350,8,36,10,42,2020-12-30
2020-12-31,230,716,11,43,13,69,2020-12-31
2019-12-01,215,202,14,25,5,18,2019-12-01
2019-12-02,249,229,12,27,6,20,2019-12-02
2019-12-03,248,289,13,29,7,20,2019-12-03
2019-12-04,272,521,8,35,6,27,2019-12-04
2019-12-05,412,335,5,28,6,23,2019-12-05
2019-12-06,334,316,6,26,5,20,2019-12-06
2019-12-07,324,381,4,25,6,23,2019-12-07
2019-12-08,353,292,8,25,5,23,2019-12-08
2019-12-09,298,401,8,29,5,26,2019-12-09
2019-12-10,359,556,10,35,5,31,2019-12-10
2019-12-11,441,450,8,17,3,24,2019-12-11
2019-12-12,400,108,4,12,3,15,2019-12-12
2019-12-13,185,135,4,11,4,18,2019-12-13
2019-12-14,188,121,3,8,3,13,2019-12-14
2019-12-15,191,112,4,10,4,14,2019-12-15
2019-12-16,178,123,6,12,4,14,2019-12-16
2019-12-17,192,160,13,15,3,15,2019-12-17
2019-12-18,242,426,9,21,4,25,2019-12-18
