date, pm25, pm10, o3, no2, so2, co,Date
2024-03-01,181,87,6,8,1,9,2024-03-01
2024-03-02,102,125,10,9,2,10,2024-03-02
2024-03-03,125,104,10,11,3,10,2024-03-03
2024-03-04,124,109,10,12,2,10,2024-03-04
2024-03-05,136,101,11,12,3,10,2024-03-05
2024-03-06,148,148,11,15,3,11,2024-03-06
2024-03-07,165,115,10,14,3,10,2024-03-07
2024-03-08,145,106,11,13,3,10,2024-03-08
2024-03-09,134,128,13,15,4,11,2024-03-09
2024-03-10,164,137,15,14,4,11,2024-03-10
2024-03-11,167,131,11,14,4,9,2024-03-11
2024-03-12,161,130,8,13,5,12,2024-03-12
2024-03-13,157,170,7,11,6,7,2024-03-13
2024-03-14,162,100,6,12,4,5,2024-03-14
2024-03-15,120,128,11,14,9,5,2024-03-15
2024-03-16,168,129,10,13,10,6,2024-03-16
2024-03-17,171,142,9,16,9,6,2024-03-17
2024-03-18,175,196,9,22,11,7,2024-03-18
2024-03-19,199,168,9,31,5,7,2024-03-19
2024-03-20,181,151,8,26,3,6,2024-03-20
2024-03-21,166,142,11,25,2,8,2024-03-21
2024-03-22,164,228,3,33,3,7,2024-03-22
2024-03-23,206, , , , , ,2024-03-23
2024-03-27,106,119,21,12,4,6,2024-03-27
2024-03-28,152,151,22,13,5,5,2024-03-28
2024-03-29,171,153,10,14,3,8,2024-03-29
2024-03-30,155,179,9,14,3,4,2024-03-30
2024-03-31,157,105,12,11,4,5,2024-03-31
2023-03-01,153,186,22,15,2,6,2023-03-01
2023-03-02,175,130,17,11,2,2,2023-03-02
2023-03-03,138,128,11,13,3,7,2023-03-03
2023-03-04,140,103,22,10,2,4,2023-03-04
2023-03-05,138,113,26,12,2,7,2023-03-05
2023-03-06,147,157,24,17,5,6,2023-03-06
2023-03-07,204,136,36,9,3,12,2023-03-07
2023-03-08,195,92,31,9,2,5,2023-03-08
2023-03-09,137,162,28,13,3,7,2023-03-09
2023-03-10,187,155,34,15,3,7,2023-03-10
2023-03-11,182,192,30,15,3,10,2023-03-11
2023-03-12,182,202,28,16,2,8,2023-03-12
2023-03-13,183,172,26,14,3,6,2023-03-13
2023-03-14,191,174,30,17,3,9,2023-03-14
2023-03-15,175,230,32,16,4,4,2023-03-15
2023-03-16,218,166,31,14,3,8,2023-03-16
2023-03-17,176,99,21,9,2,8,2023-03-17
2023-03-18,162,125,31,16,3,8,2023-03-18
2023-03-19,173,141,7,10,2,6,2023-03-19
2023-03-20,171,63,18,8,1,2,2023-03-20
2023-03-22,140,136,14,18,3,11,2023-03-22
2023-03-23,167,142,10,21,3,18,2023-03-23
2023-03-24,188,91,12,15,2,9,2023-03-24
2023-03-25,112,134,12,15,2,6,2023-03-25
2023-03-26,144,106,13,14,2,3,2023-03-26
2023-03-27,135,137,15,20,3,4,2023-03-27
2023-03-28,150,142,27,22,3,7,2023-03-28
2023-03-29,179,117,24,17,3,7,2023-03-29
2023-03-30,147,63,12,16,1,5,2023-03-30
2023-03-31,98,94,14,19,1,7,2023-03-31
2022-03-01,170,159,14,14,4,10,2022-03-01
2022-03-02,171,152,23,14,3,9,2022-03-02
2022-03-03,169,118,15,10,3,9,2022-03-03
2022-03-04,158,100,19,10,3,10,2022-03-04
2022-03-05,147,135,27,15,5,10,2022-03-05
2022-03-06,175,243,27,21,5, ,2022-03-06
2022-03-07,214,226,16,17,5,4,2022-03-07
2022-03-08,213,125,16,11,5,23,2022-03-08
2022-03-09,133,112,19,10,3,16,2022-03-09
2022-03-10,144,122,20,12,4,6,2022-03-10
2022-03-11,140,127,25,10,5,6,2022-03-11
2022-03-12,170,126,26,12,6,5,2022-03-12
2022-03-13,162,224,30,16,6,6,2022-03-13
2022-03-14,192,166,24,16,6,5,2022-03-14
2022-03-15,195,147,20,10,5,5,2022-03-15
2022-03-16,165,144,29,14,6,8,2022-03-16
2022-03-17,191,128,24,9,3,6,2022-03-17
2022-03-18,204,127,30,12,4,7,2022-03-18
2022-03-19,181,120,28,14,4,5,2022-03-19
2022-03-20,159,150,26,10,5,7,2022-03-20
2022-03-21,186,128,21,10,4,6,2022-03-21
2022-03-22,159,196,25,14,6,8,2022-03-22
2022-03-23,190,242,17,16,6,8,2022-03-23
2022-03-24,195,145,19,7,5,13,2022-03-24
2022-03-25,170,162,22, ,8,7,2022-03-25
2022-03-26,191,217,14,3,8,15,2022-03-26
2022-03-27,174,242,26,2,7,8,2022-03-27
2022-03-28,195,296,25,1,11,6,2022-03-28
2022-03-29,233,297,33,2,11,4,2022-03-29
2022-03-30,219,232,31,2,8,5,2022-03-30
2022-03-31,208,142,23,2,4,7,2022-03-31
2021-03-01,145,101,3,35,8,8,2021-03-01
2021-03-02,139,138,3,37,11,13,2021-03-02
2021-03-03,182,167,5,43,13,21,2021-03-03
2021-03-04,219,116,3,40,10,11,2021-03-04
2021-03-05,165,111,2,40,10,11,2021-03-05
2021-03-06,177,146,3,39,11,16,2021-03-06
2021-03-07,172,155,2,38,8,11,2021-03-07
2021-03-08,177,220,2,38,7,12,2021-03-08
2021-03-09,209,126,1,16,3,11,2021-03-09
2021-03-10,161,182,2,11,4,12,2021-03-10
2021-03-11,183,147,4,6,3,8,2021-03-11
2021-03-12,147,157,8,7,4,11,2021-03-12
2021-03-13,194,118,9,10,5,9,2021-03-13
2021-03-14,171,147,8,15,5,9,2021-03-14
2021-03-15,188,189,4,14,4,9,2021-03-15
2021-03-16,189,203,9,18,6,9,2021-03-16
2021-03-17,207,200,17,20,4,11,2021-03-17
2021-03-19,148,125,14,18,5,10,2021-03-19
2021-03-20,197,144,16,17,7,10,2021-03-20
2021-03-21,209,128,7,17,4,10,2021-03-21
2021-03-22,159,112,4,14,3,7,2021-03-22
2021-03-23,141,77,15,16,6,7,2021-03-23
2021-03-24,154,62,7,13,3,6,2021-03-24
2021-03-25,123,60,12,15,3,8,2021-03-25
2021-03-26,145, ,15,21,6,11,2021-03-26
2021-03-27,193, ,20,17,4,8,2021-03-27
2021-03-28,182, , , , , ,2021-03-28
2020-03-01,138,168,3,24,6,22,2020-03-01
2020-03-02,189,146,1,17,6,22,2020-03-02
2020-03-03,162,174,8,19,6,17,2020-03-03
2020-03-04,163,88,2,13,5,14,2020-03-04
2020-03-05,121,64,2,14,5,14,2020-03-05
2020-03-06,112,151,3,28,6,21,2020-03-06
2020-03-07,170,142,3,20,5,20,2020-03-07
2020-03-08,171,110,2,20,5,16,2020-03-08
2020-03-09,149,114,5,20,6,16,2020-03-09
2020-03-10,172,94,2,17,5,15,2020-03-10
2020-03-11,149,139,6,17,6,18,2020-03-11
2020-03-12,155,165,1,21,7,19,2020-03-12
2020-03-13,163,81,1,22,5,16,2020-03-13
2020-03-14,129,107,2,23, ,16,2020-03-14
2020-03-15,158,109,2,20, ,16,2020-03-15
2020-03-16,141,129,1,20, ,17,2020-03-16
2020-03-17,154,121,3,21, ,16,2020-03-17
2020-03-18,150,169,1,20, ,20,2020-03-18
2020-03-19,194,171,1,21, ,24,2020-03-19
2020-03-20,175,153,1,20, ,23,2020-03-20
2020-03-21,173,137,2,16, ,27,2020-03-21
2020-03-22,180,85,1,16, ,23,2020-03-22
2020-03-23,137,76,2,15, ,24,2020-03-23
2020-03-24,135,62,2,16, ,37,2020-03-24
2020-03-25,114, , , , , ,2020-03-25
2020-03-29,73,53,2,15,18,13,2020-03-29
2020-03-30,100,57,1,16,6,13,2020-03-30
2020-03-31,99,62,2,16,6,14,2020-03-31
2019-03-01,136,141,4,41,7,15,2019-03-01
2019-03-02,205,117,16,35,6,10,2019-03-02
2019-03-03,172,127,15,32,6,9,2019-03-03
2019-03-04,181,112,17,27,5,8,2019-03-04
2019-03-05,161,136,17,32,7,8,2019-03-05
2019-03-06,177,165,32,32,7,11,2019-03-06
2019-03-07,192,143,28,32,8,12,2019-03-07
2019-03-08,166, ,24,27,9,13,2019-03-08
2019-03-09,152, ,27,30,9,8,2019-03-09
2019-03-10,173, ,35,31,9,11,2019-03-10
2019-03-11,162, ,26,24,7,8,2019-03-11
2019-03-12,135, ,22,32,13,11,2019-03-12
