date, pm25, pm10, o3, no2, so2, co,Date
2024-07-08,76, , , , , ,2024-07-08
2024-07-10,152,97,2,11, ,3,2024-07-10
2024-07-11,149,83,2,8, ,4,2024-07-11
2024-07-12,96,89,6,11, ,4,2024-07-12
2024-07-13,135,85,1,15, ,2,2024-07-13
2024-07-14,145,95, ,13,1,7,2024-07-14
2024-07-15,139,93,1,9, ,3,2024-07-15
2024-07-16,150,58,1,5, ,2,2024-07-16
2024-07-17,74,103,1,16, ,6,2024-07-17
2024-07-18,147,109,3,12,1,3,2024-07-18
2024-07-19,165,104,3,9,1,3,2024-07-19
2024-07-20,156,86,1,8, ,3,2024-07-20
2024-07-21,142,66, ,8, ,5,2024-07-21
2024-07-22,124,84,1,11,1,4,2024-07-22
2024-07-23,149,70,1,10,1,4,2024-07-23
2024-07-24,135,111,1,12,1,3,2024-07-24
2024-07-25,149,96,2,9, ,5,2024-07-25
2024-07-26,123,116,2,14, ,11,2024-07-26
2024-07-27,118,95, ,10, ,3,2024-07-27
2024-07-28,120,103,2,9, ,5,2024-07-28
2024-07-29,109,91,5,9, ,4,2024-07-29
2024-07-30,112, , , , , ,2024-07-30
2023-07-01,89,76,6, ,1,13,2023-07-01
2023-07-02,104,125,8,1,2,13,2023-07-02
2023-07-03,139,153,6,1,1,12,2023-07-03
2023-07-04,141,76,8, ,1,12,2023-07-04
2023-07-05,112,104,10, ,1,11,2023-07-05
2023-07-06,104,127,17, ,1,12,2023-07-06
2023-07-07,119,51,16, ,1,12,2023-07-07
2023-07-08,116,34,5, ,1,10,2023-07-08
2023-07-09,93,37,7, ,1,11,2023-07-09
2023-07-10,90,63,6, ,1,11,2023-07-10
2023-07-11,101,63,26, ,1,10,2023-07-11
2023-07-12,113,78,12, ,1,11,2023-07-12
2023-07-13,119, , , , , ,2023-07-13
2023-07-21,133,77,9,5,1,12,2023-07-21
2023-07-22,111,70,12,6,1,12,2023-07-22
2023-07-23,114,90,34,6,1,13,2023-07-23
2023-07-24,184,593,6,6,1,15,2023-07-24
2023-07-25,164,81,11,6,1,13,2023-07-25
2023-07-26,83,170,14,9,1,14,2023-07-26
2023-07-27,135,83,16,6,1,12,2023-07-27
2023-07-28,126,56,5,5,1,14,2023-07-28
2023-07-29,73,76,5,5,1,13,2023-07-29
2023-07-30,84,96,6,5,1,13,2023-07-30
2023-07-31,135,93,5,4,1,12,2023-07-31
2022-07-01,134,95,3,7,2,6,2022-07-01
2022-07-02,119,73,5,7,2,8,2022-07-02
2022-07-03,109,106,20,10,2,7,2022-07-03
2022-07-04,162,112,8,9,1,7,2022-07-04
2022-07-05,162,107,11,5,2,6,2022-07-05
2022-07-06,149,120,3,5,2,7,2022-07-06
2022-07-07,111,119,3,5,2,4,2022-07-07
2022-07-08,118, , , , , ,2022-07-08
2022-07-10,97,83,5,8,2,11,2022-07-10
2022-07-11,134,84,3,7,1,6,2022-07-11
2022-07-12,111,101,3,5,1,7,2022-07-12
2022-07-13,114,114,3,5,2,8,2022-07-13
2022-07-14,88,101,3,4,2,12,2022-07-14
2022-07-15,85,71,4,5,2,9,2022-07-15
2022-07-16,88, ,4,3,1,8,2022-07-16
2022-07-17,95,100,3,6,1,10,2022-07-17
2022-07-18,122,125,6,12,2,12,2022-07-18
2022-07-19,144,73,1,8,2,30,2022-07-19
2022-07-20,119,84,11,10,1,41,2022-07-20
2022-07-21,135,95,11,10,2,39,2022-07-21
2022-07-22,159,79,5,6,2,33,2022-07-22
