date, pm25, pm10, o3, no2, so2, co,Date
2024-10-01,153,151,30,22,1,14,2024-10-01
2024-10-02,160,161,35,22,3,13,2024-10-02
2024-10-03,198,158,31,20,3,13,2024-10-03
2024-10-04,141,129,32,17,2,11,2024-10-04
2024-10-05,112,127,28,14,3,8,2024-10-05
2024-10-06,122,114,24,15,2,11,2024-10-06
2024-10-07,134,140,34,19,2,11,2024-10-07
2024-10-08,162,123,31,18,2,11,2024-10-08
2024-10-09,157,110,28,16,3,10,2024-10-09
2024-10-10,137,113,38,16,3,9,2024-10-10
2024-10-11,150,147,42,22,3,15,2024-10-11
2024-10-12,158,205,30,26,5,12,2024-10-12
2024-10-13,172,211,26,26,5,15,2024-10-13
2024-10-14,195,206,33,35,5,11,2024-10-14
2024-10-15,181,232,33,37,7,14,2024-10-15
2024-10-16,185,362,34,37,11,22,2024-10-16
2024-10-17,239,366,26,38,9,3,2024-10-17
2024-10-18,237,304,29,41,9,19,2024-10-18
2024-10-19,182,311,38,39,6,10,2024-10-19
2024-10-20,242,238,41,37,4,9,2024-10-20
2024-10-21,241,274,39,42,5,13,2024-10-21
2024-10-22,253,302,32,39,4,6,2024-10-22
2024-10-23,306,171,40,34,5,11,2024-10-23
2024-10-24,215,209,25,35,5,10,2024-10-24
2024-10-25,212,269,8,45,8,14,2024-10-25
2024-10-26,256,287,6,42,5,10,2024-10-26
2024-10-27,281,247,24,43,4,13,2024-10-27
2024-10-28,227,242,18,44,4,13,2024-10-28
2024-10-29,207,353,21,44,7,9,2024-10-29
2024-10-30,265,304,42,33,15,9,2024-10-30
2024-10-31,281,315,58,29,17,9,2024-10-31
2023-10-01,155,113,19,16, ,5,2023-10-01
2023-10-02,145,148,19,24, ,4,2023-10-02
2023-10-03,153,147,15,21, ,6,2023-10-03
2023-10-04,154,165,24,28, ,7,2023-10-04
2023-10-05,169,201,22,28, ,7,2023-10-05
2023-10-06,176,211,8,37,1,5,2023-10-06
2023-10-07,175,183,6,50,1,11,2023-10-07
2023-10-08,161,153,6,49,1,8,2023-10-08
2023-10-09,156,158,9,70, ,4,2023-10-09
2023-10-10,158,142,13,49,2,6,2023-10-10
2023-10-11,160,198,18,64,1,10,2023-10-11
2023-10-12,229,282,21,74, ,9,2023-10-12
2023-10-13,244,266,13,28, ,12,2023-10-13
2023-10-14,177,216,10,11,3,8,2023-10-14
2023-10-15,187,155,12,9,3,5,2023-10-15
2023-10-16,150,86,7,8,5,9,2023-10-16
2023-10-17,113,105,10,8,6,4,2023-10-17
2023-10-18,138,100,17,9,6,7,2023-10-18
2023-10-19,140,143,19,11,6,7,2023-10-19
2023-10-20,189,225,23,13,8,6,2023-10-20
2023-10-21,245,266,16,13,7,10,2023-10-21
2023-10-22,262,226,14,10,7,10,2023-10-22
2023-10-23,260,153,18,14,7,11,2023-10-23
2023-10-24,176,170,18,13,7,9,2023-10-24
2023-10-25,202,168,22,13,7,8,2023-10-25
2023-10-26,186,221,28,15,9,13,2023-10-26
2023-10-27,211,382,26,16,9,19,2023-10-27
2023-10-28,266,390,24,18,9,22,2023-10-28
2023-10-29,286,387,26,18,9,12,2023-10-29
2023-10-30,306,398,15,29,8,14,2023-10-30
2023-10-31,309,339,28,37,11,19,2023-10-31
2022-10-01,169,122,6,9,2, ,2022-10-01
2022-10-02,150,107,8,7,2,10,2022-10-02
2022-10-03,118,136,8,12,2,37,2022-10-03
2022-10-04,153,145,9,10,2,10,2022-10-04
2022-10-05,177,73,5,3,2,6,2022-10-05
2022-10-06,65,52,3,3,2,10,2022-10-06
2022-10-07,63,36,18,4,2,13,2022-10-07
2022-10-08,68,17,3,3,1,18,2022-10-08
2022-10-09,41,42,5,4,1, ,2022-10-09
2022-10-10,64,93,12,10,1, ,2022-10-10
2022-10-11,118,118,8,9,2, ,2022-10-11
2022-10-12,156,122,9,11,1, ,2022-10-12
2022-10-13,145,133,18,13,1, ,2022-10-13
2022-10-14,160,152,21,15,1, ,2022-10-14
2022-10-15,170,174,28,16,2,1,2022-10-15
2022-10-16,185,214,27,18,2, ,2022-10-16
2022-10-17,187,261,22,20,3, ,2022-10-17
2022-10-18,187,315,3,19,3,1,2022-10-18
2022-10-19,213,267,24,22,2,20,2022-10-19
2022-10-20,183,248,21,22,2,14,2022-10-20
2022-10-21,206,227,18,18,2,10,2022-10-21
2022-10-22,211,194,30,19,2,6,2022-10-22
2022-10-23,203,183,26,14,3,7,2022-10-23
2022-10-24,216,243,23,14,4,8,2022-10-24
2022-10-25,241,207,27,16,2,13,2022-10-25
2022-10-26,219,327,19,18,3,25,2022-10-26
2022-10-27,301,376,24,22,3,14,2022-10-27
2022-10-28,325,420,19,18,3,22,2022-10-28
2022-10-29,348,372,16,19,3,24,2022-10-29
2022-10-30,313,472,19,22,3,32,2022-10-30
2022-10-31,374,485,27,25,3,24,2022-10-31
2021-10-01,144,101,3,8,1,3,2021-10-01
2021-10-02,144,99,3,7,1,3,2021-10-02
2021-10-03,135,89,1,5,1, ,2021-10-03
2021-10-04,85,107,2,9,1,3,2021-10-04
2021-10-05,136,88,2,8,1,3,2021-10-05
2021-10-06,141,109,8,11,1,4,2021-10-06
2021-10-07,159,148,18,15,3,6,2021-10-07
2021-10-08,156,164,19,14,2,5,2021-10-08
2021-10-09,145,167,22,12,1,5,2021-10-09
2021-10-10,142,147,16,10,1,5,2021-10-10
2021-10-11,136,202,4,11,1,6,2021-10-11
2021-10-12,141,150,23,12,1,4,2021-10-12
2021-10-13,160,142,23,15,2,4,2021-10-13
2021-10-14,157,145,34,15,2,6,2021-10-14
2021-10-15,158,251,27,17,2,7,2021-10-15
2021-10-16,172,163,4,8,1,5,2021-10-16
2021-10-17,102,35,5,5,1,5,2021-10-17
2021-10-18,55,98,14,9,1,5,2021-10-18
2021-10-19,121,180,20,15,1,9,2021-10-19
2021-10-20,161,227,16,15,1,5,2021-10-20
2021-10-21,160,180,13,14,2,12,2021-10-21
2021-10-22,126,151,19,13,2,8,2021-10-22
2021-10-23,128,110,23,11,2,4,2021-10-23
2021-10-24,152,88,16,12,2,8,2021-10-24
2021-10-25,117,122,19,14,2,5,2021-10-25
2021-10-26,148,169,25,17,4,6,2021-10-26
2021-10-27,160,234,21,21,4,15,2021-10-27
2021-10-28,158,273,23,23,5,8,2021-10-28
2021-10-29,164,202,15,23,4,9,2021-10-29
2021-10-30,132,275,20,21,5,15,2021-10-30
2021-10-31,160,307,22,26,3,11,2021-10-31
2020-10-01,139,149,27,18,8,10,2020-10-01
2020-10-02,143,144,25,19,6,12,2020-10-02
2020-10-03,137,148,31,22,8,11,2020-10-03
2020-10-04,139,168,26,20,8,11,2020-10-04
2020-10-05,135,171,26,23,11,14,2020-10-05
2020-10-06,144,226,24,19,12,14,2020-10-06
2020-10-07,170,202,33,24,11,13,2020-10-07
2020-10-08,152,180,35,23,11,15,2020-10-08
2020-10-09,153,169,30,24,10,13,2020-10-09
2020-10-10,155,170,3,24,11,15,2020-10-10
2020-10-11,155,269,20,24,12,18,2020-10-11
2020-10-12,176,308,19,21,13,20,2020-10-12
2020-10-13,185,238,7,21,11,27,2020-10-13
2020-10-14,175,274,20,23,12,14,2020-10-14
2020-10-15,171,294,13,23,13,20,2020-10-15
2020-10-16,180,280,27,31,12,15,2020-10-16
2020-10-17,175,190,22,29,10,11,2020-10-17
2020-10-18,153,221,26,27,10,15,2020-10-18
2020-10-19,162,251,27,29,12,17,2020-10-19
2020-10-20,159,348,21,28,13,23,2020-10-20
2020-10-21,169,410,29,32,15,24,2020-10-21
2020-10-22,207,457,29,32,12,18,2020-10-22
2020-10-23,237,374,18,31,12,22,2020-10-23
2020-10-24,209,403,20,31,14,25,2020-10-24
2020-10-25,220,343,26,30,10,19,2020-10-25
2020-10-26,209,222,28,27,8,19,2020-10-26
2020-10-27,178,324,31,30,11,17,2020-10-27
2020-10-28,194,463,43,36,11,26,2020-10-28
2020-10-29,242,356,31,29,11,20,2020-10-29
2020-10-30,214,348,27,26,9,21,2020-10-30
2020-10-31,229,370,30,26,13,22,2020-10-31
2019-10-01,120,83,17,12,5,8,2019-10-01
2019-10-02,113,151,31,15,6,9,2019-10-02
2019-10-03,154,85,14,15,5,7,2019-10-03
2019-10-04,133,88,16,17,5,8,2019-10-04
2019-10-05,119,102,18,16,5,8,2019-10-05
2019-10-06,146,106,12,17,3,7,2019-10-06
2019-10-07,143,92,19,16,6,7,2019-10-07
2019-10-08,122,142,63,18,6,11,2019-10-08
2019-10-09,160,177,46,27,8,12,2019-10-09
2019-10-10,190,136,39,19,6,11,2019-10-10
2019-10-11,172,156,23,22,6,13,2019-10-11
2019-10-12,188,184,30,20,7,12,2019-10-12
2019-10-13,217,208,28,22,7,14,2019-10-13
2019-10-14,201,217,43,30,6,19,2019-10-14
2019-10-15,200,233,45,31,7,15,2019-10-15
2019-10-16,219,224,108,22,8,14,2019-10-16
2019-10-17,204,223,20,18,5,10,2019-10-17
2019-10-18,162,127,34,20,7,9,2019-10-18
2019-10-19,161,136,16,19,7,12,2019-10-19
2019-10-20,145,199,37,20,8,11,2019-10-20
2019-10-21,207,180,23,22,9,11,2019-10-21
2019-10-22,184,254,25,32,10,14,2019-10-22
2019-10-23,207,380,40,29,10,22,2019-10-23
2019-10-24,290,244,62,26,9,17,2019-10-24
2019-10-25,208,303,53,30,8,19,2019-10-25
2019-10-26,247,365,29,26,10,16,2019-10-26
2019-10-27,326,375,21,19,15,18,2019-10-27
2019-10-28,398,424,7,22,8,20,2019-10-28
2019-10-29,400,445,6,26,10,23,2019-10-29
2019-10-30,390,495,6,28,11,25,2019-10-30
2019-10-31,424,589,13,37,11,27,2019-10-31
2018-10-01,155,158,24,20,12,11,2018-10-01
2018-10-02,168,166,35,24,12,13,2018-10-02
2018-10-03,145,172,53,24,15,13,2018-10-03
2018-10-04,174,220,31,17,15,14,2018-10-04
2018-10-05,210,133,23,19,12,10,2018-10-05
2018-10-06,131,155,36,20,14,11,2018-10-06
2018-10-07,167,223,45,24,14,14,2018-10-07
2018-10-08,205,281,50,24,14,16,2018-10-08
2018-10-09,192,227,24,20,14,15,2018-10-09
2018-10-10,179,203,14,17,13,10,2018-10-10
2018-10-11,163,144,34,15,16,10,2018-10-11
2018-10-12,163,255,33,19,17,13,2018-10-12
2018-10-13,244,182,27,23,17,11,2018-10-13
2018-10-14,190,283,35,23,20,16,2018-10-14
2018-10-15,221,368,36,30,19,22,2018-10-15
2018-10-16,249,338,29,23,15,24,2018-10-16
2018-10-17,227,342,30,23,18,25,2018-10-17
2018-10-18,241,279,34,20,19,17,2018-10-18
2018-10-19,222,279,39,18,20,15,2018-10-19
2018-10-20,263,220,33,19,21,14,2018-10-20
2018-10-21,231,218,26,16,24,15,2018-10-21
2018-10-22,209,288,32,5,30,18,2018-10-22
2018-10-23,223,374,35,3,21,26,2018-10-23
2018-10-24,289,304,43,1,21,23,2018-10-24
2018-10-25,264,358,32,2,15,21,2018-10-25
2018-10-26,300,346,31,2,12,25,2018-10-26
2018-10-27,284,472,4,3,14,52,2018-10-27
2018-10-28,381,401,29,4,11,29,2018-10-28
2018-10-29,313,457,28,5,11,27,2018-10-29
2018-10-30,361,418,25,11,11,29,2018-10-30
2018-10-31,334,502,23,16,13,34,2018-10-31
