date, pm25, pm10, o3, no2, so2, co,Date
2025-01-01,242,208,47,28,4,44,2025-01-01
2025-01-02,271,240,39,31,5,22,2025-01-02
2025-01-03,312,487,17,53,9,37,2025-01-03
2025-01-04,415,222,17,37,8,15,2025-01-04
2025-01-05,270,182,16,36,8,8,2025-01-05
2025-01-06,270,194,18,29,8,9,2025-01-06
2025-01-07,245,227,18,39,8,24,2025-01-07
2025-01-08,247,501,18,53,5,35,2025-01-08
2025-01-09,428,431,19,44,6,33,2025-01-09
2025-01-10,416,210,20,31,4,19,2025-01-10
2025-01-11,273,150,19,31,3,19,2025-01-11
2025-01-12,239,145,22,27,4,12,2025-01-12
2025-01-13,211,218,49,33,3,20,2025-01-13
2025-01-14,243,502,57,38,5,36,2025-01-14
2025-01-15,446,210,51,43,4,19,2025-01-15
2025-01-16,262,145,12,24,3,6,2025-01-16
2025-01-17,211,187,19,28,4,9,2025-01-17
2025-01-18,240,358,29,39,5,21,2025-01-18
2025-01-19,312,213,22,35,4,8,2025-01-19
2025-01-20,246,169,25,32,5,4,2025-01-20
2025-01-21,212,187,22,46,6,8,2025-01-21
2025-01-22,191,159,12,40,6,10,2025-01-22
2025-01-23,202,126,15,31,5,9,2025-01-23
2025-01-24,173,223,18,48,6,13,2025-01-24
2025-01-25,193,172,46,40,5,12,2025-01-25
2025-01-26,209,186,37,45,4,11,2025-01-26
2025-01-27,215,232,44,50,6,15,2025-01-27
2025-01-28,237,388,38,50,8,14,2025-01-28
2025-01-29,339,363,47,41,5,8,2025-01-29
2025-01-30,305,298,58,41,3,12,2025-01-30
2025-01-31,303,294,51,42,4,10,2025-01-31
2024-01-01,247,216,5,28,5,10,2024-01-01
2024-01-02,257,216,1,30,6,16,2024-01-02
2024-01-03,277,309,1,20,6,9,2024-01-03
2024-01-04,319,219,1,20,3,8,2024-01-04
2024-01-05,251,225,4,23,3,8,2024-01-05
2024-01-06,254,230,8,25,3,9,2024-01-06
2024-01-07,269,360,4,26,5,9,2024-01-07
2024-01-08,326,171,4,21,2,6,2024-01-08
2024-01-09,209,205,4,19,2,9,2024-01-09
2024-01-10,227,270,7,22,3,9,2024-01-10
2024-01-11,274,221,7,22,3,10,2024-01-11
2024-01-12,259,484,7,30,4,12,2024-01-12
2024-01-13,426,410,8,27,6,12,2024-01-13
2024-01-14,395,245,7,24,6,9,2024-01-14
2024-01-15,277,347,7,26,3,8,2024-01-15
2024-01-16,350,278,10,23,3,6,2024-01-16
2024-01-17,298,297,7,24,4,10,2024-01-17
2024-01-18,296,275,3,22,3,9,2024-01-18
2024-01-19,300,261,11,22,3,9,2024-01-19
2024-01-20,272,228,4,20,3,6,2024-01-20
2024-01-21,265,320,11,20,4,8,2024-01-21
2024-01-22,301,343,9,21,4,6,2024-01-22
2024-01-23,341,322,6,19,5,6,2024-01-23
2024-01-24,328,256,5,19,4,6,2024-01-24
2024-01-25,270,357,15,22,5,18,2024-01-25
2024-01-26,360,282,10,21,6,8,2024-01-26
2024-01-27,258,480,5,27,7,7,2024-01-27
2024-01-28,386,402,8,25,7,5,2024-01-28
2024-01-29,338,280,2,18,4,8,2024-01-29
2024-01-30,291,257, ,19,6,8,2024-01-30
2024-01-31,326,127,2,13,4,8,2024-01-31
2023-01-02,323,279,10,12,4,11,2023-01-02
2023-01-03,328,181,10,10,1,11,2023-01-03
2023-01-04,249,216,7,12,3,13,2023-01-04
2023-01-05,261,371,9,15,2,14,2023-01-05
2023-01-06,341,311,8,14,8,12,2023-01-06
2023-01-07,286,280,8,16,2,17,2023-01-07
2023-01-08,312,427,6,17,2,23,2023-01-08
2023-01-09,417,261,5,13,1,13,2023-01-09
2023-01-10,291,289,13,14,1,14,2023-01-10
2023-01-11,277,262,11,13,2,15,2023-01-11
2023-01-12,297,291,9,13,2,15,2023-01-12
2023-01-13,316,162,8,9,1,7,2023-01-13
2023-01-14,225,125,14,12,1,6,2023-01-14
2023-01-15,163,167,15,17,2,9,2023-01-15
2023-01-16,201,194,12,17,2,10,2023-01-16
2023-01-17,217,309,26,19,2,6,2023-01-17
2023-01-18,280,308,26,24,4,4,2023-01-18
2023-01-19,285,137,18,12,2,3,2023-01-19
2023-01-20,171,268,19,19,2,8,2023-01-20
2023-01-21,283,319,20,20,1,6,2023-01-21
2023-01-22,342,253,20,17,2,8,2023-01-22
2023-01-23,247,150,10,12,1,2,2023-01-23
2023-01-24,187,128,6,13,1,5,2023-01-24
2023-01-25,187,131,8,9,1,4,2023-01-25
2023-01-26,213,125,6,13,1,4,2023-01-26
2023-01-27,174,159, ,17,2,6,2023-01-27
2023-01-28,193,228, ,18,2,7,2023-01-28
2023-01-29,287,118, ,13,1,4,2023-01-29
2023-01-30,183,115, ,8,1,11,2023-01-30
2023-01-31,183,107,7,9,1,4,2023-01-31
2023-01-01,230,231,11,11,1,13,2023-01-01
2022-01-03,337,387,2,22,2,17,2022-01-03
2022-01-04,332,304,5,16,1,14,2022-01-04
2022-01-05,362,132,2,11,1,10,2022-01-05
2022-01-06,204,96,2,9,1,8,2022-01-06
2022-01-07,167,58,3,6,1,8,2022-01-07
2022-01-08,149,55,2,5,1,7,2022-01-08
2022-01-09,143,98,2,9,1,10,2022-01-09
2022-01-10,179,106,2,12,1,8,2022-01-10
2022-01-11,178,134,2,13,1,10,2022-01-11
2022-01-12,197,193,2,15,1,12,2022-01-12
2022-01-13,261,203,2,14,2,12,2022-01-13
2022-01-14,265,112,2,9,1,7,2022-01-14
2022-01-15,188,129,3,10,1,9,2022-01-15
2022-01-16,208,237,4,16,1,12,2022-01-16
2022-01-17,288,201,2,13,1,8,2022-01-17
2022-01-18,270,206,2,13,1,12,2022-01-18
2022-01-19,257,377,3,15,2,14,2022-01-19
2022-01-20,375,279,5,15,1,8,2022-01-20
2022-01-21,304,124, ,9,1,5,2022-01-21
2022-01-22,211,120,2,6,1,14,2022-01-22
2022-01-23,206,131,2,10,1,5,2022-01-23
2022-01-24,199,161,2,9,2,11,2022-01-24
2022-01-25,213,144,2,9,1,5,2022-01-25
2022-01-26,207,151,6,11,1,7,2022-01-26
2022-01-27,214,165,9,12,2,10,2022-01-27
2022-01-28,205,148,11,14,2,9,2022-01-28
2022-01-29,194,173,12,12,3,8,2022-01-29
2022-01-30,226,295,8,15,2,19,2022-01-30
2022-01-31,318,222,5,12,2,8,2022-01-31
2022-01-01,330,332,3,22,1,17,2022-01-01
2022-01-02,338,341,3,23,2,17,2022-01-02
2021-01-04,137,70,23,23,8,23,2021-01-04
2021-01-05,118,118,19,22,9,26,2021-01-05
2021-01-06,168,112,9,20,7,22,2021-01-06
2021-01-07,156,157,9,23,8,26,2021-01-07
2021-01-08,170,143,8,23,9,23,2021-01-08
2021-01-09,166,117,8,19,6,16,2021-01-09
2021-01-10,158,132,7,24,8,19,2021-01-10
2021-01-11,189,152,17,28,6,28,2021-01-11
2021-01-12,246,185,17,30,10,20,2021-01-12
2021-01-13,280,198,24,37,10,59,2021-01-13
2021-01-14,437, ,25,46,12,51,2021-01-14
2021-01-15,506,484,4,32,9,1,2021-01-15
2021-01-16,310,526,8,25,8, ,2021-01-16
2021-01-17,305,551,7,30,11,49,2021-01-17
2021-01-18,322,317,6,29,10,21,2021-01-18
2021-01-19,329,144,9,23,8,13,2021-01-19
2021-01-20,202,407,7,43,18,24,2021-01-20
2021-01-21,341,408,5,36,10,25,2021-01-21
2021-01-22,380,206,16,30,9,14,2021-01-22
2021-01-23,262,257,14,27,9,17,2021-01-23
2021-01-24,315,192,17,26,10,18,2021-01-24
2021-01-25,236,228,54,31,11,13,2021-01-25
2021-01-26,287,232,53,37,13,20,2021-01-26
2021-01-27,233,337,11,40,14,21,2021-01-27
2021-01-28,337,325,3,41,12,16,2021-01-28
2021-01-29,316,279,2,39,12,20,2021-01-29
2021-01-30,291,341,6,40,15,22,2021-01-30
2021-01-31,305,409,4,46,16,25,2021-01-31
2021-01-01,370,541,11,42,12,49,2021-01-01
2021-01-02,292,168,7,26,10,35,2021-01-02
2021-01-03,175,106,11,27,9,25,2021-01-03
2020-01-01,444,482,3,14,9,27,2020-01-01
2020-01-02,419,377,2,11,7,25,2020-01-02
2020-01-03,355,245,3,13,3,21,2020-01-03
2020-01-04,286,204,3,11,4,16,2020-01-04
2020-01-05,272,197,3,9,4,17,2020-01-05
2020-01-06,250,180,6,8,4,19,2020-01-06
2020-01-07,229,108,3,5,3,16,2020-01-07
2020-01-08,207,102,5,4,3,13,2020-01-08
2020-01-09,182,153,7,6,3,17,2020-01-09
2020-01-10,214,200,7,8,4,19,2020-01-10
2020-01-11,246,301,8,8,4,22,2020-01-11
2020-01-12,309,262,7,5,4,24,2020-01-12
2020-01-13,318,115,6,3,3,16,2020-01-13
2020-01-14,197,121,3,4,4,16,2020-01-14
2020-01-15,195,134,2,4,3,17,2020-01-15
2020-01-16,232,112,2,3,4,18,2020-01-16
2020-01-17,203,131,2,3,3,19,2020-01-17
2020-01-18,208,131,2,4,3,16,2020-01-18
