date, pm25, pm10, o3, no2, so2, co,Date
2024-04-01,93,113,15,16,5,5,2024-04-01
2024-04-02,126,135,24,19,5,5,2024-04-02
2024-04-03,152,124,18,21,4,6,2024-04-03
2024-04-04,129,136,13,20,5,4,2024-04-04
2024-04-05,139,133,16,18,6,5,2024-04-05
2024-04-06,149,141,17,20,7,11,2024-04-06
2024-04-07,159,156,17,23,8,12,2024-04-07
2024-04-08,160,146,27,21,6,13,2024-04-08
2024-04-09,161,153,32,22,4,14,2024-04-09
2024-04-10,171,193,22,20,5,17,2024-04-10
2024-04-11,169,193,27,18,9,14,2024-04-11
2024-04-12,184,146,18,6,1,7,2024-04-12
2024-04-13,144,121,6,9,1,8,2024-04-13
2024-04-14,151,223,15,10,2,17,2024-04-14
2024-04-15,193,257,9,9,2,16,2024-04-15
2024-04-16,185,98,15,8,1,8,2024-04-16
2024-04-17,98,123,13,9,1,13,2024-04-17
2024-04-18,125,162,11,8,2,15,2024-04-18
2024-04-19,143,156,12,7,1,10,2024-04-19
2024-04-20,138,108,15,8,1,10,2024-04-20
2024-04-21,135,112,17,8,1,11,2024-04-21
2024-04-22,113,179,25,9,2,13,2024-04-22
2024-04-23,157,123,25,9,2,15,2024-04-23
2024-04-24,141,161,22,10,2,17,2024-04-24
2024-04-25,152,150,31,10,2,12,2024-04-25
2024-04-26,147,143,18,7,1,9,2024-04-26
2024-04-27,143,114,23,10,1,7,2024-04-27
2024-04-28,132,176,25,10,2,10,2024-04-28
2024-04-29,158,131,22,8,2,8,2024-04-29
2024-04-30,138,161,24,7,2,6,2024-04-30
2023-04-01,141,139,12,21,2,10,2023-04-01
2023-04-02,158,163,12,17,3,10,2023-04-02
2023-04-03,160,114,13,15,2,6,2023-04-03
2023-04-04,113,144,13,19,3,7,2023-04-04
2023-04-05,130,161,14,19,2,5,2023-04-05
2023-04-06,108,126,16,20,4,4,2023-04-06
2023-04-07,118,144,21,23,4,8,2023-04-07
2023-04-08,141,330,23,25,5,11,2023-04-08
2023-04-09,200,285,23,28,6,11,2023-04-09
2023-04-10,176,346,19,30,13,11,2023-04-10
2023-04-11,243,173,16,23,5,4,2023-04-11
2023-04-12,155,196,17,24,6,12,2023-04-12
2023-04-13,171,245,20,27,7,13,2023-04-13
2023-04-14,193,294,26,31,7,17,2023-04-14
2023-04-15,201,216,21,31,5,14,2023-04-15
2023-04-16,162,234,22,26,5,14,2023-04-16
2023-04-17,155,204,13,21,5,19,2023-04-17
2023-04-18,161,236,20,12,3,6,2023-04-18
2023-04-19,139,104,12,11,3,11,2023-04-19
2023-04-20,113,119,14,12,2,8,2023-04-20
2023-04-21,121,107,22,12,2,7,2023-04-21
2023-04-22,114,99,14,11,2,7,2023-04-22
2023-04-23,86,135,20,16,4,10,2023-04-23
2023-04-24,148,115,24,14,3,11,2023-04-24
2023-04-25,136,168,31,21,3,16,2023-04-25
2023-04-26,169,180,27,14,2,11,2023-04-26
2023-04-27,142,155,29,20,3,7,2023-04-27
2023-04-28,159,166,20,14,3,7,2023-04-28
2023-04-29,162,89,20,11,2,4,2023-04-29
2023-04-30,136,58,6,8,2,10,2023-04-30
2022-04-01,122,214,37,3,8,8,2022-04-01
2022-04-02,187,199,33,2,5,4,2022-04-02
2022-04-03,176,238,29,2,9,1,2022-04-03
2022-04-04,208,194,28,2,9,11,2022-04-04
2022-04-05,192,229,30,2,8,14,2022-04-05
2022-04-06,199,265,31,2,11,14,2022-04-06
2022-04-07,222,228,24,3,10,8,2022-04-07
2022-04-08,209,255,35,2,9,6,2022-04-08
2022-04-09,194,218, ,2,8,5,2022-04-09
2022-04-10,199,236,28,3,11,7,2022-04-10
2022-04-11,211,225,20,2,7,6,2022-04-11
2022-04-12,191,241,21,3,6,6,2022-04-12
2022-04-13,196,225,19, ,6,3,2022-04-13
2022-04-14,167, , , , , ,2022-04-14
2022-04-16,165,172,7,3,7,7,2022-04-16
2022-04-17,202,186,30,3,6,7,2022-04-17
2022-04-18,187,243,21,2,9,7,2022-04-18
2022-04-19,250,145,19,8,6,7,2022-04-19
2022-04-20,168,250,9,14,4,7,2022-04-20
2022-04-21,180,125,34,17,3,7,2022-04-21
2022-04-22,145,153,30,21,4,7,2022-04-22
2022-04-23,195,154,34,15,4,5,2022-04-23
2022-04-24,193,222,27,12,2,7,2022-04-24
2022-04-25,156,123,30,19,4,8,2022-04-25
2022-04-26,157,212,34,26,10,9,2022-04-26
2022-04-27,259,226,32,27,7,8,2022-04-27
2022-04-28,267,231,28,24,8, ,2022-04-28
2022-04-29,272,186,28,20,7,9,2022-04-29
2022-04-30,217,180,21,12,4,33,2022-04-30
2021-04-01,76, ,15,16,5,7,2021-04-01
2021-04-02,130, ,22,20,5,9,2021-04-02
2021-04-03,138, ,21,20,5,8,2021-04-03
2021-04-04,146, ,29,24,6,10,2021-04-04
2021-04-05,165,317,37,25,6,10,2021-04-05
2021-04-06,197,175,24,17,3,7,2021-04-06
2021-04-07,150,113,20,18,3,8,2021-04-07
2021-04-08,124,136,18,21,3,9,2021-04-08
2021-04-09,124,150,24,22,4,9,2021-04-09
2021-04-10,150,144,22,21,5,9,2021-04-10
2021-04-11,146,225,24,24,7,10,2021-04-11
2021-04-12,184,212,20,23,7,9,2021-04-12
2021-04-13,179,145,18,21,5,7,2021-04-13
2021-04-14,140,184,19,20,6,8,2021-04-14
2021-04-15,165,159,2,18,4,7,2021-04-15
2021-04-16,140,86,15,14,3,6,2021-04-16
2021-04-17,109,122,26,15,4,7,2021-04-17
2021-04-18,146,162,17,17,3,10,2021-04-18
2021-04-19,125,147,21,13,4,5,2021-04-19
2021-04-20,133,83,18,10,3,5,2021-04-20
2021-04-21,118,95,26,10,2,5,2021-04-21
2021-04-22,120,87,16,9,3,6,2021-04-22
2021-04-23,113,87,22,13,2,6,2021-04-23
2021-04-24,117,139,25,15,4,8,2021-04-24
2021-04-25,160,285,30,20,6,12,2021-04-25
