date, pm25, pm10, o3, no2, so2, co,Date
2024-09-01,122,100,27,18,2,8,2024-09-01
2024-09-02,122,97,25,16,1,6,2024-09-02
2024-09-03,125,60,9,18,1,8,2024-09-03
2024-09-04,87,92,26,23,1,8,2024-09-04
2024-09-05,132,101,14,21,2,6,2024-09-05
2024-09-06,119,81,17,19,2,9,2024-09-06
2024-09-07,109,86,2,19,1,8,2024-09-07
2024-09-08,149,98,5,18,1,8,2024-09-08
2024-09-09,152,94,11,22,1,8,2024-09-09
2024-09-10,132,88,2,19,1,10,2024-09-10
2024-09-11,105,37,2,11,1,9,2024-09-11
2024-09-12,61,38,2,17,1,12,2024-09-12
2024-09-13,68,78,1,19,1,11,2024-09-13
2024-09-14,102,142,3,21, ,11,2024-09-14
2024-09-15,129,155,23,19, ,10,2024-09-15
2024-09-16,135,179,24,19,1,10,2024-09-16
2024-09-17,154,85,20,16,1,10,2024-09-17
2024-09-18,109,103,19,13,2,13,2024-09-18
2024-09-19,110, , , , , ,2024-09-19
2024-09-21,163,130,22,20,1,9,2024-09-21
2024-09-22,164,128,16,18,1,9,2024-09-22
2024-09-23,165,148,20,20,1,10,2024-09-23
2024-09-24,182,185,16,25,2,8,2024-09-24
2024-09-25,181,89,25,14,1,13,2024-09-25
2024-09-26,99,96,19,12,1,9,2024-09-26
2024-09-27,66,79,37,13,1,10,2024-09-27
2024-09-28,69,80,38,14,1,11,2024-09-28
2024-09-29,85,121,27,19,1,8,2024-09-29
2024-09-30,159,125,32,18, ,11,2024-09-30
2023-09-01,125,109,5,2,2,11,2023-09-01
2023-09-02,125,116,6,2,1,11,2023-09-02
2023-09-03,118,103,6,2,2,12,2023-09-03
2023-09-04,120,93,8,2,2,13,2023-09-04
2023-09-05,119,97,8,3,2,12,2023-09-05
2023-09-06,117,93,13,3,2,12,2023-09-06
2023-09-07,115,89,8,2,2,9,2023-09-07
2023-09-08,117,44,4,1,1,12,2023-09-08
2023-09-09,48,34,4, ,1,12,2023-09-09
2023-09-10,157,78,5,4,1,12,2023-09-10
2023-09-11,113,124,4,8,1,4,2023-09-11
2023-09-12,128,125,5,8,1,7,2023-09-12
2023-09-13,155,130,5,11,1,5,2023-09-13
2023-09-14,160,94,4,12,1,6,2023-09-14
2023-09-15,116,92,4,13,1,6,2023-09-15
2023-09-16,111,113,4,8,2,4,2023-09-16
2023-09-17,116,110,5,8,2,4,2023-09-17
2023-09-18,82,102,5,10,1,4,2023-09-18
2023-09-19,93,96,5,15,1,2,2023-09-19
2023-09-20,114,102,5,16,1,15,2023-09-20
2023-09-21,117,101,5,13,1,2,2023-09-21
2023-09-22,145,113,5,14,1,6,2023-09-22
2023-09-23,144,133,6,21,1,8,2023-09-23
2023-09-24,160,111,10,16,2,3,2023-09-24
2023-09-25,159,128,5,16,2,2,2023-09-25
2023-09-26,162,118,5,13,1,2,2023-09-26
2023-09-27,138,119,7,15, ,2,2023-09-27
2023-09-28,149,127,12,17, ,2,2023-09-28
2023-09-29,156,137,13,18, ,3,2023-09-29
2023-09-30,154,133,14,15,1,5,2023-09-30
2022-09-01,128,93,2,10,2,8,2022-09-01
2022-09-02,123,86,2,5,2,9,2022-09-02
2022-09-03,177,77,2,5,3,9,2022-09-03
2022-09-04,85,76,2,6,2, ,2022-09-04
2022-09-05,85,85,2,6,2, ,2022-09-05
2022-09-06,95,84,3,7,2,3,2022-09-06
2022-09-07,115,101,4,7,2,3,2022-09-07
2022-09-08,144,97,3,6,2,3,2022-09-08
2022-09-09,149,86,2,5,2,4,2022-09-09
2022-09-10,142,75,6,5,2,1,2022-09-10
2022-09-11,101,76,3,4,2,5,2022-09-11
2022-09-12,83,73,4,6,2,4,2022-09-12
2022-09-13,84,80,3,5,2,3,2022-09-13
2022-09-14,76,15,2,4,1,1,2022-09-14
2022-09-15,26,21,2,5,1,1,2022-09-15
2022-09-16,46,87,3,7,2,1,2022-09-16
2022-09-17,113,73,7,8,2,1,2022-09-17
2022-09-18,125,108,4,10,1,2,2022-09-18
2022-09-19,163,103,8,9,2,4,2022-09-19
2022-09-20,136,79,5,9,1,1,2022-09-20
2022-09-21,124,43,2,5,1,1,2022-09-21
2022-09-22,80,27,6,5,1,6,2022-09-22
2022-09-23,82,39,3,7,1,4,2022-09-23
2022-09-24,100,51,3,7,1,5,2022-09-24
2022-09-25,79,106,18,8,2,2,2022-09-25
2022-09-26,137,98,3,7,1,2,2022-09-26
2022-09-27,121,119,3,10,1, ,2022-09-27
2022-09-28,145,112,5,10,1, ,2022-09-28
2022-09-29,152,129,6,11,1, ,2022-09-29
2022-09-30,170,135,5,11,1, ,2022-09-30
2021-09-01,81,59,2,4,1,5,2021-09-01
2021-09-02,111,67,3,5,1,8,2021-09-02
2021-09-03,98,78,6,6,2,8,2021-09-03
2021-09-04,101,90,3,7,2,6,2021-09-04
2021-09-05,130,129,7,8,1,8,2021-09-05
2021-09-06,140,88,3,4,1,5,2021-09-06
2021-09-07,134,81,10,4,2,6,2021-09-07
2021-09-08,88,98,6,6,2,7,2021-09-08
2021-09-09,112,95,9,5,2,6,2021-09-09
2021-09-10,129,41,3,5,2,6,2021-09-10
2021-09-11,90,73,4,6,1,7,2021-09-11
2021-09-12,122,80,3,5,1,6,2021-09-12
2021-09-13,117,75,1,4,1,7,2021-09-13
2021-09-14,88,82,3,6,1,6,2021-09-14
2021-09-15,84,74,15,7,1,7,2021-09-15
2021-09-16,98,71,4,6,1,5,2021-09-16
2021-09-17,83,101,5,7,1,7,2021-09-17
2021-09-18,125,94,4,7,1,5,2021-09-18
2021-09-19,117,91,3,6,1,5,2021-09-19
2021-09-20,110,81,3,6,1,8,2021-09-20
2021-09-21,105,82,2,6,1,7,2021-09-21
2021-09-22,99,77,2,5,1,5,2021-09-22
2021-09-23,91,76,3,10, , ,2021-09-23
2021-09-24,108,78,2,7, , ,2021-09-24
2021-09-25,112,117,3,10,1, ,2021-09-25
2021-09-26,138,101,12,13,1,5,2021-09-26
2021-09-27,148,119,16,10,1,5,2021-09-27
2021-09-28,120,97,9,8,1,3,2021-09-28
2021-09-29,119,91,2,8,1,3,2021-09-29
2021-09-30,119,117,3,14,1,6,2021-09-30
2020-09-02,71,103,19,16,11,14,2020-09-02
2020-09-03,96,100,11,14,10,23,2020-09-03
2020-09-04,98, , , , , ,2020-09-04
2020-09-07,98,80,9,19,8, ,2020-09-07
2020-09-08,76,94,10,22,8,10,2020-09-08
2020-09-09,99,100,7,25,11,11,2020-09-09
2020-09-10,112,108,17,18,10,9,2020-09-10
2020-09-11,115,112,14,12,7,10,2020-09-11
2020-09-12,120,101,17,14,10,10,2020-09-12
2020-09-13,115,105,7,14,9,12,2020-09-13
2020-09-14,137,99,5,15,10,12,2020-09-14
2020-09-15,128,100,5,16,11,11,2020-09-15
2020-09-16,121,88,5,15,9,11,2020-09-16
2020-09-17,111,86,4,16,9,12,2020-09-17
2020-09-18,103,84,5,17,8,12,2020-09-18
